ticker,as_of,open,high,low,close,volume,synthetic,source_id
SIM_A,2026-01-05T14:30:00+00:00,237.8591,239.5602,237.5321,239.4479,229863.0,True,synthetic:ohlcv:SIM_A:0
SIM_B,2026-01-05T14:30:00+00:00,265.4625,266.8825,265.0322,266.5959,198360.0,True,synthetic:ohlcv:SIM_B:1
SIM_C,2026-01-05T14:30:00+00:00,244.8564,245.3459,243.6666,243.8818,200081.0,True,synthetic:ohlcv:SIM_C:2
SIM_D,2026-01-05T14:30:00+00:00,45.239,45.3595,45.1649,45.2674,143529.0,True,synthetic:ohlcv:SIM_D:3
SIM_E,2026-01-05T14:30:00+00:00,77.3231,77.7626,77.1357,77.5618,213840.0,True,synthetic:ohlcv:SIM_E:4
SIM_A,2026-01-05T14:35:00+00:00,239.4479,239.6577,239.2077,239.6034,106415.0,True,synthetic:ohlcv:SIM_A:5
SIM_B,2026-01-05T14:35:00+00:00,266.5959,267.3794,265.1497,265.9633,142662.0,True,synthetic:ohlcv:SIM_B:6
SIM_C,2026-01-05T14:35:00+00:00,243.8818,244.9928,243.5404,244.9485,198285.0,True,synthetic:ohlcv:SIM_C:7
SIM_D,2026-01-05T14:35:00+00:00,45.2674,45.6192,45.1607,45.5257,246535.0,True,synthetic:ohlcv:SIM_D:8
SIM_E,2026-01-05T14:35:00+00:00,77.5618,77.7043,77.166,77.325,209450.0,True,synthetic:ohlcv:SIM_E:9
SIM_A,2026-01-05T14:40:00+00:00,239.6034,240.6869,239.2617,240.167,135320.0,True,synthetic:ohlcv:SIM_A:10
SIM_B,2026-01-05T14:40:00+00:00,265.9633,266.4945,265.4474,266.2444,120768.0,True,synthetic:ohlcv:SIM_B:11
SIM_C,2026-01-05T14:40:00+00:00,244.9485,245.9236,244.6708,245.6622,183505.0,True,synthetic:ohlcv:SIM_C:12
SIM_D,2026-01-05T14:40:00+00:00,45.5257,45.5885,45.1447,45.2322,265975.0,True,synthetic:ohlcv:SIM_D:13
SIM_E,2026-01-05T14:40:00+00:00,77.325,77.4069,77.2599,77.2958,153833.0,True,synthetic:ohlcv:SIM_E:14
SIM_A,2026-01-05T14:45:00+00:00,240.167,240.8043,239.9036,240.4364,115442.0,True,synthetic:ohlcv:SIM_A:15
SIM_B,2026-01-05T14:45:00+00:00,266.2444,266.7162,265.7359,266.2784,111233.0,True,synthetic:ohlcv:SIM_B:16
SIM_C,2026-01-05T14:45:00+00:00,245.6622,246.1203,242.8475,243.1845,322535.0,True,synthetic:ohlcv:SIM_C:17
SIM_D,2026-01-05T14:45:00+00:00,45.2322,45.5253,45.2279,45.4439,220421.0,True,synthetic:ohlcv:SIM_D:18
SIM_E,2026-01-05T14:45:00+00:00,77.2958,77.703,77.1969,77.5303,218333.0,True,synthetic:ohlcv:SIM_E:19
SIM_A,2026-01-05T14:50:00+00:00,240.4364,241.2523,240.1244,240.9738,134601.0,True,synthetic:ohlcv:SIM_A:20
SIM_B,2026-01-05T14:50:00+00:00,266.2784,267.4062,265.7315,266.9977,158604.0,True,synthetic:ohlcv:SIM_B:21
SIM_C,2026-01-05T14:50:00+00:00,243.1845,244.9038,243.0246,244.5682,231259.0,True,synthetic:ohlcv:SIM_C:22
SIM_D,2026-01-05T14:50:00+00:00,45.4439,45.6322,45.3755,45.5241,179121.0,True,synthetic:ohlcv:SIM_D:23
SIM_E,2026-01-05T14:50:00+00:00,77.5303,77.7708,77.3936,77.6373,170690.0,True,synthetic:ohlcv:SIM_E:24
SIM_A,2026-01-05T14:55:00+00:00,240.9738,241.7302,240.6766,241.2641,119025.0,True,synthetic:ohlcv:SIM_A:25
SIM_B,2026-01-05T14:55:00+00:00,266.9977,267.5337,266.6198,267.1508,125620.0,True,synthetic:ohlcv:SIM_B:26
SIM_C,2026-01-05T14:55:00+00:00,244.5682,245.6165,244.3187,244.9873,147294.0,True,synthetic:ohlcv:SIM_C:27
SIM_D,2026-01-05T14:55:00+00:00,45.5241,45.6257,45.3577,45.3981,180390.0,True,synthetic:ohlcv:SIM_D:28
SIM_E,2026-01-05T14:55:00+00:00,77.6373,78.0061,77.3905,77.9862,248926.0,True,synthetic:ohlcv:SIM_E:29
SIM_A,2026-01-05T15:00:00+00:00,241.2641,242.7069,240.9664,242.3699,188895.0,True,synthetic:ohlcv:SIM_A:30
SIM_B,2026-01-05T15:00:00+00:00,267.1508,268.4626,266.4434,268.1909,184830.0,True,synthetic:ohlcv:SIM_B:31
SIM_C,2026-01-05T15:00:00+00:00,244.9873,245.0681,244.4979,244.9978,126024.0,True,synthetic:ohlcv:SIM_C:32
SIM_D,2026-01-05T15:00:00+00:00,45.3981,45.4855,45.3545,45.3943,133216.0,True,synthetic:ohlcv:SIM_D:33
SIM_E,2026-01-05T15:00:00+00:00,77.9862,78.1213,77.5785,77.743,213214.0,True,synthetic:ohlcv:SIM_E:34
SIM_A,2026-01-05T15:05:00+00:00,242.3699,243.6524,241.9447,242.8871,126531.0,True,synthetic:ohlcv:SIM_A:35
SIM_B,2026-01-05T15:05:00+00:00,268.1909,268.7646,267.7036,268.328,115126.0,True,synthetic:ohlcv:SIM_B:36
SIM_C,2026-01-05T15:05:00+00:00,244.9978,247.8479,244.5907,247.5443,334332.0,True,synthetic:ohlcv:SIM_C:37
SIM_D,2026-01-05T15:05:00+00:00,45.3943,45.4428,45.2355,45.2941,186290.0,True,synthetic:ohlcv:SIM_D:38
SIM_E,2026-01-05T15:05:00+00:00,77.743,78.8257,77.6076,78.698,394904.0,True,synthetic:ohlcv:SIM_E:39
SIM_A,2026-01-05T15:10:00+00:00,242.8871,243.2531,241.7358,242.0778,147932.0,True,synthetic:ohlcv:SIM_A:40
SIM_B,2026-01-05T15:10:00+00:00,268.328,270.1462,268.2172,269.9188,224692.0,True,synthetic:ohlcv:SIM_B:41
SIM_C,2026-01-05T15:10:00+00:00,247.5443,249.5384,247.1406,249.4183,265812.0,True,synthetic:ohlcv:SIM_C:42
SIM_D,2026-01-05T15:10:00+00:00,45.2941,45.3854,45.2326,45.3258,144555.0,True,synthetic:ohlcv:SIM_D:43
SIM_E,2026-01-05T15:10:00+00:00,78.698,79.22,78.544,79.0373,229574.0,True,synthetic:ohlcv:SIM_E:44
SIM_A,2026-01-05T15:15:00+00:00,242.0778,243.7483,241.5928,243.1471,180862.0,True,synthetic:ohlcv:SIM_A:45
SIM_B,2026-01-05T15:15:00+00:00,269.9188,270.6126,269.4494,270.0912,125675.0,True,synthetic:ohlcv:SIM_B:46
SIM_C,2026-01-05T15:15:00+00:00,249.4183,249.6245,248.7963,249.0193,145566.0,True,synthetic:ohlcv:SIM_C:47
SIM_D,2026-01-05T15:15:00+00:00,45.3258,45.4089,45.1007,45.1712,195137.0,True,synthetic:ohlcv:SIM_D:48
SIM_E,2026-01-05T15:15:00+00:00,79.0373,79.0704,78.8903,79.0024,164371.0,True,synthetic:ohlcv:SIM_E:49
SIM_A,2026-01-05T15:20:00+00:00,243.1471,243.9879,242.4897,243.7012,137434.0,True,synthetic:ohlcv:SIM_A:50
SIM_B,2026-01-05T15:20:00+00:00,270.0912,271.33,269.5991,271.0402,169240.0,True,synthetic:ohlcv:SIM_B:51
SIM_C,2026-01-05T15:20:00+00:00,249.0193,249.6442,248.0975,248.4899,168476.0,True,synthetic:ohlcv:SIM_C:52
SIM_D,2026-01-05T15:20:00+00:00,45.1712,45.3397,45.0861,45.3331,202243.0,True,synthetic:ohlcv:SIM_D:53
SIM_E,2026-01-05T15:20:00+00:00,79.0024,79.2436,78.7956,79.1459,194746.0,True,synthetic:ohlcv:SIM_E:54
SIM_A,2026-01-05T15:25:00+00:00,243.7012,244.0653,242.8911,243.3845,108543.0,True,synthetic:ohlcv:SIM_A:55
SIM_B,2026-01-05T15:25:00+00:00,271.0402,272.1027,270.7221,271.3524,127365.0,True,synthetic:ohlcv:SIM_B:56
SIM_C,2026-01-05T15:25:00+00:00,248.4899,248.8809,246.6727,247.0568,239302.0,True,synthetic:ohlcv:SIM_C:57
SIM_D,2026-01-05T15:25:00+00:00,45.3331,45.847,45.2725,45.7502,314883.0,True,synthetic:ohlcv:SIM_D:58
SIM_E,2026-01-05T15:25:00+00:00,79.1459,79.2102,78.7803,78.8706,217112.0,True,synthetic:ohlcv:SIM_E:59
SIM_A,2026-01-05T15:30:00+00:00,243.3845,246.4378,243.0065,246.1981,324872.0,True,synthetic:ohlcv:SIM_A:60
SIM_B,2026-01-05T15:30:00+00:00,271.3524,271.7508,270.9919,271.1154,128747.0,True,synthetic:ohlcv:SIM_B:61
SIM_C,2026-01-05T15:30:00+00:00,247.0568,247.3998,246.6569,247.118,123470.0,True,synthetic:ohlcv:SIM_C:62
SIM_D,2026-01-05T15:30:00+00:00,45.7502,45.8132,45.5057,45.6007,199908.0,True,synthetic:ohlcv:SIM_D:63
SIM_E,2026-01-05T15:30:00+00:00,78.8706,79.4999,78.7207,79.3303,263802.0,True,synthetic:ohlcv:SIM_E:64
SIM_A,2026-01-05T15:35:00+00:00,246.1981,246.7317,246.0065,246.3871,106639.0,True,synthetic:ohlcv:SIM_A:65
SIM_B,2026-01-05T15:35:00+00:00,271.1154,272.4388,270.3368,271.9871,168372.0,True,synthetic:ohlcv:SIM_B:66
SIM_C,2026-01-05T15:35:00+00:00,247.118,247.5703,246.8206,247.3791,145892.0,True,synthetic:ohlcv:SIM_C:67
SIM_D,2026-01-05T15:35:00+00:00,45.6007,45.6271,45.3013,45.4196,216123.0,True,synthetic:ohlcv:SIM_D:68
SIM_E,2026-01-05T15:35:00+00:00,79.3303,79.8061,79.3017,79.6133,212334.0,True,synthetic:ohlcv:SIM_E:69
SIM_A,2026-01-05T15:40:00+00:00,246.3871,247.0072,246.1009,246.7539,111252.0,True,synthetic:ohlcv:SIM_A:70
SIM_B,2026-01-05T15:40:00+00:00,271.9871,273.6399,271.4395,272.9631,186450.0,True,synthetic:ohlcv:SIM_B:71
SIM_C,2026-01-05T15:40:00+00:00,247.3791,248.6192,247.0313,248.1075,173373.0,True,synthetic:ohlcv:SIM_C:72
SIM_D,2026-01-05T15:40:00+00:00,45.4196,45.493,45.0981,45.1945,232977.0,True,synthetic:ohlcv:SIM_D:73
SIM_E,2026-01-05T15:40:00+00:00,79.6133,79.7227,79.4403,79.5839,153061.0,True,synthetic:ohlcv:SIM_E:74
SIM_A,2026-01-05T15:45:00+00:00,246.7539,246.8977,246.1233,246.448,111466.0,True,synthetic:ohlcv:SIM_A:75
SIM_B,2026-01-05T15:45:00+00:00,272.9631,273.3566,271.4748,272.1573,165499.0,True,synthetic:ohlcv:SIM_B:76
SIM_C,2026-01-05T15:45:00+00:00,248.1075,249.0668,247.7974,248.4505,149307.0,True,synthetic:ohlcv:SIM_C:77
SIM_D,2026-01-05T15:45:00+00:00,45.1945,45.2823,44.9997,45.0191,209721.0,True,synthetic:ohlcv:SIM_D:78
SIM_E,2026-01-05T15:45:00+00:00,79.5839,79.6618,79.2786,79.3529,214814.0,True,synthetic:ohlcv:SIM_E:79
SIM_A,2026-01-05T15:50:00+00:00,246.448,247.2148,245.232,245.7176,149324.0,True,synthetic:ohlcv:SIM_A:80
SIM_B,2026-01-05T15:50:00+00:00,272.1573,272.4899,271.3951,272.0219,107890.0,True,synthetic:ohlcv:SIM_B:81
SIM_C,2026-01-05T15:50:00+00:00,248.4505,248.6117,246.5269,246.8307,259034.0,True,synthetic:ohlcv:SIM_C:82
SIM_D,2026-01-05T15:50:00+00:00,45.0191,45.309,45.0166,45.2927,258578.0,True,synthetic:ohlcv:SIM_D:83
SIM_E,2026-01-05T15:50:00+00:00,79.3529,79.4166,79.2581,79.3205,156797.0,True,synthetic:ohlcv:SIM_E:84
SIM_A,2026-01-05T15:55:00+00:00,245.7176,248.1841,245.3008,247.4118,231521.0,True,synthetic:ohlcv:SIM_A:85
SIM_B,2026-01-05T15:55:00+00:00,272.0219,273.2039,271.7763,272.5786,136686.0,True,synthetic:ohlcv:SIM_B:86
SIM_C,2026-01-05T15:55:00+00:00,246.8307,248.493,246.8233,248.25,225027.0,True,synthetic:ohlcv:SIM_C:87
SIM_D,2026-01-05T15:55:00+00:00,45.2927,45.4204,45.2523,45.4137,193582.0,True,synthetic:ohlcv:SIM_D:88
SIM_E,2026-01-05T15:55:00+00:00,79.3205,79.368,79.0772,79.1101,207365.0,True,synthetic:ohlcv:SIM_E:89
SIM_A,2026-01-05T16:00:00+00:00,247.4118,248.1088,246.958,247.6955,118535.0,True,synthetic:ohlcv:SIM_A:90
SIM_B,2026-01-05T16:00:00+00:00,272.5786,272.8247,272.349,272.5449,116530.0,True,synthetic:ohlcv:SIM_B:91
SIM_C,2026-01-05T16:00:00+00:00,248.25,248.5787,246.4053,246.9998,223820.0,True,synthetic:ohlcv:SIM_C:92
SIM_D,2026-01-05T16:00:00+00:00,45.4137,45.6052,45.3217,45.5413,183126.0,True,synthetic:ohlcv:SIM_D:93
SIM_E,2026-01-05T16:00:00+00:00,79.1101,79.3141,78.5915,78.7482,243927.0,True,synthetic:ohlcv:SIM_E:94
SIM_A,2026-01-05T16:05:00+00:00,247.6955,248.5073,247.268,248.4901,160632.0,True,synthetic:ohlcv:SIM_A:95
SIM_B,2026-01-05T16:05:00+00:00,272.5449,274.6218,272.1002,274.0912,214128.0,True,synthetic:ohlcv:SIM_B:96
SIM_C,2026-01-05T16:05:00+00:00,246.9998,248.2546,246.3984,247.9456,189022.0,True,synthetic:ohlcv:SIM_C:97
SIM_D,2026-01-05T16:05:00+00:00,45.5413,45.592,45.3809,45.4866,156397.0,True,synthetic:ohlcv:SIM_D:98
SIM_E,2026-01-05T16:05:00+00:00,78.7482,78.9785,78.381,78.6027,190756.0,True,synthetic:ohlcv:SIM_E:99
SIM_A,2026-01-05T16:10:00+00:00,248.4901,248.8201,247.3678,247.6996,152270.0,True,synthetic:ohlcv:SIM_A:100
SIM_B,2026-01-05T16:10:00+00:00,274.0912,275.2853,274.0801,274.5278,140483.0,True,synthetic:ohlcv:SIM_B:101
SIM_C,2026-01-05T16:10:00+00:00,247.9456,249.289,247.6755,248.7464,183411.0,True,synthetic:ohlcv:SIM_C:102
SIM_D,2026-01-05T16:10:00+00:00,45.4866,45.5604,45.3067,45.3544,189743.0,True,synthetic:ohlcv:SIM_D:103
SIM_E,2026-01-05T16:10:00+00:00,78.6027,79.3272,78.5445,79.1352,285092.0,True,synthetic:ohlcv:SIM_E:104
SIM_A,2026-01-05T16:15:00+00:00,247.6996,250.2545,247.3677,249.9067,275213.0,True,synthetic:ohlcv:SIM_A:105
SIM_B,2026-01-05T16:15:00+00:00,274.5278,276.0272,274.3862,275.5633,173726.0,True,synthetic:ohlcv:SIM_B:106
SIM_C,2026-01-05T16:15:00+00:00,248.7464,249.272,248.5669,249.168,163270.0,True,synthetic:ohlcv:SIM_C:107
SIM_D,2026-01-05T16:15:00+00:00,45.3544,45.4763,45.299,45.4167,171279.0,True,synthetic:ohlcv:SIM_D:108
SIM_E,2026-01-05T16:15:00+00:00,79.1352,80.1504,78.9407,80.0116,365007.0,True,synthetic:ohlcv:SIM_E:109
SIM_A,2026-01-05T16:20:00+00:00,249.9067,250.4153,249.6472,250.0184,93530.0,True,synthetic:ohlcv:SIM_A:110
SIM_B,2026-01-05T16:20:00+00:00,275.5633,276.8257,275.2314,276.2303,148268.0,True,synthetic:ohlcv:SIM_B:111
SIM_C,2026-01-05T16:20:00+00:00,249.168,250.5165,248.9051,250.0079,183434.0,True,synthetic:ohlcv:SIM_C:112
SIM_D,2026-01-05T16:20:00+00:00,45.4167,45.5137,45.0254,45.1215,269439.0,True,synthetic:ohlcv:SIM_D:113
SIM_E,2026-01-05T16:20:00+00:00,80.0116,80.5893,79.9019,80.4692,257527.0,True,synthetic:ohlcv:SIM_E:114
SIM_A,2026-01-05T16:25:00+00:00,250.0184,251.0202,249.8907,250.5293,133152.0,True,synthetic:ohlcv:SIM_A:115
SIM_B,2026-01-05T16:25:00+00:00,276.2303,277.3008,275.6505,277.2697,175237.0,True,synthetic:ohlcv:SIM_B:116
SIM_C,2026-01-05T16:25:00+00:00,250.0079,250.5648,249.6285,250.0209,117418.0,True,synthetic:ohlcv:SIM_C:117
SIM_D,2026-01-05T16:25:00+00:00,45.1215,45.1604,45.0125,45.1124,135374.0,True,synthetic:ohlcv:SIM_D:118
SIM_E,2026-01-05T16:25:00+00:00,80.4692,80.6155,80.2359,80.3711,177105.0,True,synthetic:ohlcv:SIM_E:119
SIM_A,2026-01-05T16:30:00+00:00,250.5293,251.1871,250.4858,250.785,119517.0,True,synthetic:ohlcv:SIM_A:120
SIM_B,2026-01-05T16:30:00+00:00,277.2697,277.7612,276.2171,276.9497,131268.0,True,synthetic:ohlcv:SIM_B:121
SIM_C,2026-01-05T16:30:00+00:00,250.0209,250.4117,249.9878,250.11,117501.0,True,synthetic:ohlcv:SIM_C:122
