ticker,as_of,open,high,low,close,volume,synthetic,source_id
SIM_0001,2026-01-05T14:30:00+00:00,118.8619,119.1552,117.5494,117.8402,458098.0,True,synthetic:ohlcv:SIM_0001:0
SIM_0002,2026-01-05T14:30:00+00:00,210.7739,211.2794,210.2013,210.7067,153221.0,True,synthetic:ohlcv:SIM_0002:1
SIM_0003,2026-01-05T14:30:00+00:00,411.1903,413.1837,410.1135,412.1045,240373.0,True,synthetic:ohlcv:SIM_0003:2
SIM_0004,2026-01-05T14:30:00+00:00,133.6161,134.9285,133.1257,134.4351,400134.0,True,synthetic:ohlcv:SIM_0004:3
SIM_0005,2026-01-05T14:30:00+00:00,386.2244,387.2091,383.792,384.7729,225065.0,True,synthetic:ohlcv:SIM_0005:4
SIM_0006,2026-01-05T14:30:00+00:00,158.8224,159.0005,158.5086,158.6866,121243.0,True,synthetic:ohlcv:SIM_0006:5
SIM_0007,2026-01-05T14:30:00+00:00,200.0704,201.4411,199.5629,200.9314,419811.0,True,synthetic:ohlcv:SIM_0007:6
SIM_0008,2026-01-05T14:30:00+00:00,496.4277,503.6148,495.4711,502.6462,530111.0,True,synthetic:ohlcv:SIM_0008:7
SIM_0001,2026-01-05T15:00:00+00:00,117.8402,118.0892,116.1445,116.3905,305195.0,True,synthetic:ohlcv:SIM_0001:8
SIM_0002,2026-01-05T15:00:00+00:00,210.7067,211.1689,209.7559,210.217,248451.0,True,synthetic:ohlcv:SIM_0002:9
SIM_0003,2026-01-05T15:00:00+00:00,412.1045,414.1947,411.7864,413.8753,176289.0,True,synthetic:ohlcv:SIM_0003:10
SIM_0004,2026-01-05T15:00:00+00:00,134.4351,134.4717,133.7118,133.7482,301860.0,True,synthetic:ohlcv:SIM_0004:11
SIM_0005,2026-01-05T15:00:00+00:00,384.7729,385.2505,384.476,384.9534,199297.0,True,synthetic:ohlcv:SIM_0005:12
SIM_0006,2026-01-05T15:00:00+00:00,158.6866,159.0105,158.1995,158.523,167267.0,True,synthetic:ohlcv:SIM_0006:13
SIM_0007,2026-01-05T15:00:00+00:00,200.9314,202.3345,200.3779,201.7786,305357.0,True,synthetic:ohlcv:SIM_0007:14
SIM_0008,2026-01-05T15:00:00+00:00,502.6462,506.2706,500.996,504.614,222442.0,True,synthetic:ohlcv:SIM_0008:15
SIM_0001,2026-01-05T15:30:00+00:00,116.3905,117.9517,116.0275,117.5849,475451.0,True,synthetic:ohlcv:SIM_0001:16
SIM_0002,2026-01-05T15:30:00+00:00,210.217,211.1815,209.5403,210.5039,188096.0,True,synthetic:ohlcv:SIM_0002:17
